time-5,time-4,time-3,time-2,time-1,time
72.8,188.0,417.1,199.3,202.0,116.5
346.5,246.0,215.8,140.8,127.4,54.6
81.0,372.0,254.0,175.3,147.6,50.0
402.3,138.0,255.6,111.7,31.6,33.8
27.2,42.2,149.0,133.7,257.4,212.0
16.8,23.6,26.1,55.4,57.4,144.0
138.0,255.6,111.7,31.6,33.8,23.2
258.7,147.7,28.1,89.9,1.2,80.4
283.7,115.2,26.1,0.6,28.4,0.0
111.0,93.9,3.5,14.1,25.4,158.0
60.4,35.0,8.2,27.2,42.2,149.0
181.0,153.8,189.5,270.0,361.2,272.8
235.6,349.6,489.0,201.8,61.0,147.6
28.0,54.0,0.0,21.6,55.4,47.8
383.3,114.5,96.5,61.1,41.0,52.6
279.4,88.4,5.1,7.4,0.0,42.0
7.4,0.0,46.6,190.0,101.5,214.9
54.1,84.6,17.0,0.2,18.1,149.0
25.4,158.0,144.0,230.0,131.6,194.0
28.1,89.9,1.2,80.4,81.1,17.6
26.1,55.4,57.4,144.0,222.8,102.4
106.0,72.2,16.8,23.6,26.1,55.4
0.0,13.2,45.0,60.6,229.0,250.5
220.0,253.2,230.6,352.0,187.6,343.2
41.0,52.6,5.6,1.2,38.8,164.1
22.0,57.0,220.0,253.2,230.6,352.0
201.8,61.0,147.6,8.8,82.6,0.0
222.8,102.4,259.0,56.1,49.7,87.3
345.0,255.5,106.0,72.2,16.8,23.6
0.0,146.0,127.4,316.8,200.0,339.5
2.0,60.7,76.0,262.6,392.0,126.0
205.0,135.5,179.0,109.2,56.6,20.6
123.0,257.6,210.0,196.0,191.5,76.4
144.0,237.8,111.0,93.9,3.5,14.1
86.0,0.0,81.8,71.3,73.0,166.0
270.0,361.2,272.8,45.2,0.0,40.5
230.6,352.0,187.6,343.2,23.0,16.0
0.6,34.8,42.6,71.4,91.4,181.4
0.0,0.0,146.0,127.4,316.8,200.0
20.6,4.0,0.0,91.9,57.4,169.0
46.6,190.0,101.5,214.9,718.0,144.0
23.2,46.1,0.2,43.0,156.0,218.6
166.4,360.9,250.0,23.8,279.4,88.4
0.2,43.0,156.0,218.6,201.2,205.0
442.1,174.0,310.3,129.1,54.1,84.6
62.0,35.4,72.2,0.0,4.5,15.2
172.3,60.4,35.0,8.2,27.2,42.2
0.0,21.6,55.4,47.8,102.0,229.2
193.6,413.6,172.0,68.6,101.2,109.7
228.2,126.9,84.3,123.4,22.4,68.6
5.6,1.2,38.8,164.1,194.8,253.6
5.1,123.0,257.6,210.0,196.0,191.5
57.0,220.0,253.2,230.6,352.0,187.6
446.4,197.0,258.8,204.0,45.2,32.6
71.9,324.5,173.0,268.6,47.2,49.8
9.5,0.0,53.2,181.0,153.8,189.5
200.0,339.5,124.8,64.6,65.6,1.2
0.0,4.5,15.2,111.0,71.9,324.5
